consideration_offered,shares_acquired,shares_at_announcement,acquiror_code,target_code,target_status,acquisition_count,bidder_count,month,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,car_1,car_3,car_5,car_10
Other,full,no,52102050,57201020,others,4,1,12,cross_border,not_related,Industrials,Industrial Goods,Technology,Software & IT Services,-0.0181949106250274,-0.0303234878423517,-0.0122996621006046,-0.0309021478781187
Other,full,no,60101010,60101010,others,27,1,12,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,-0.0007815851922772,-0.0088014895276458,0.029868998173344,0.0903792721539223
Cash,not_full,no,53202030,53202030,public,3,1,12,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Products,Consumer Cyclicals,Cyclical Consumer Products,0.0043698254803382,0.0109472017194593,0.0798755052496431,0.1978056029201998
Cash,full,no,60101010,60101010,others,49,1,12,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,-0.00156663331726,-0.002099554227831,0.0300812484434633,0.0559358458911014
Other,full,no,55102050,57201030,others,7,1,12,national,not_related,Financials,Banking & Investment Services,Technology,Software & IT Services,1.4253678710218765e-05,-0.0187816144488528,-0.0213141086863551,-0.0031767393715674
Other,full,no,57201030,57201030,others,0,1,12,national,industry,Technology,Software & IT Services,Technology,Software & IT Services,-0.1565320578967706,-0.1759959102480184,-0.1673700281766291,-0.1580060099650106
Cash,full,no,60101010,60101010,others,21,1,12,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,-0.0185667425084734,-0.0401776048497791,-0.04061824035134,-0.0159448896460803
Other,full,no,55301010,55301010,others,441,1,12,national,industry,Financials,Insurance,Financials,Insurance,-0.0228556989637855,-0.024702623677372,-0.0081170782390544,-0.0109533224493026
Other,full,no,53403020,51202010,others,24,1,12,cross_border,not_related,Consumer Cyclicals,Retailers,Basic Materials,Mineral Resources,0.0182741482786831,0.0758769669665305,0.1252071452049117,0.1544799004718473
Other,full,no,53403020,52102020,others,25,1,12,cross_border,not_related,Consumer Cyclicals,Retailers,Industrials,Industrial Goods,0.0182741482786831,0.0758769669665305,0.1252071452049117,0.1544799004718473
Cash,not_full,no,55101010,55101010,public,5,1,12,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.004028485324512,-0.0085878063997192,-0.0030879197594952,0.0382069364707668
Other,full,no,53402020,53403090,others,2,1,12,cross_border,business_sector,Consumer Cyclicals,Retailers,Consumer Cyclicals,Retailers,-0.0019887455543751,-0.0181560235865753,-0.0190668137788622,0.0095566312875727
Other,full,no,53302010,53302020,others,1,1,12,cross_border,industry_group,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,-0.3749304283437102,-0.24223256273819,-0.0384583450281951,0.2208211987558024
Cash,full,no,60102040,53301010,others,22,1,12,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Cyclical Consumer Services,-0.0192193766973854,-0.0135311776480059,-0.0169057681020564,-0.0123865676472444
Other,full,no,55301010,55301010,others,442,1,12,national,industry,Financials,Insurance,Financials,Insurance,0.0092759418502532,0.0251704029009175,0.0269208725648945,0.0492078399535804
Other,full,no,55101010,55101010,others,21,1,12,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0333354874652745,-0.0183979860448202,-0.0285389723086239,0.009786088299136
Other,full,no,57401010,57201020,others,0,1,12,cross_border,economic_sector,Technology,Telecommunications Services,Technology,Software & IT Services,0.083750264299244,0.0396901338104128,0.018037052787389,0.0897915828884603
Other,full,no,55301010,55301010,others,443,1,12,national,industry,Financials,Insurance,Financials,Insurance,0.0092759418502532,0.0251704029009175,0.0269208725648945,0.0492078399535804
Cash,full,no,52102010,52102040,others,9,1,12,cross_border,industry_group,Industrials,Industrial Goods,Industrials,Industrial Goods,-0.0044750998787339,0.058104646973193,0.058104646973193,0.0770281203745552
Cash,full,no,60101010,53301010,others,11,1,12,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Cyclical Consumer Services,-0.0150546350321614,-0.0034842868482261,0.006853829000431,-0.0029282217076461
Other,full,no,52102010,57201010,others,106,1,12,national,not_related,Industrials,Industrial Goods,Technology,Software & IT Services,-0.0138795273904885,-0.0388587281750592,-0.0215593646314286,-0.0189649694652117
Cash,full,no,55301010,55301030,others,2,1,12,cross_border,industry_group,Financials,Insurance,Financials,Insurance,-0.056166743074924,-0.0528396948431382,-0.0423104248604646,-0.0380698494321227
Other,full,no,57201020,57201020,others,34,1,12,national,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.0175162484448793,0.0192267272548596,-0.0081754543858736,-0.0659587278514094
Other,full,no,53203010,52201020,others,34,1,12,cross_border,not_related,Consumer Cyclicals,Cyclical Consumer Products,Industrials,Industrial & Commercial Services,-0.045483920397234,-0.0588247614378515,-0.0944464572941689,-0.1759421124563998
Other,full,no,53203010,52201020,others,35,1,12,cross_border,not_related,Consumer Cyclicals,Cyclical Consumer Products,Industrials,Industrial & Commercial Services,-0.045483920397234,-0.0588247614378515,-0.0944464572941689,-0.1759421124563998
Other,full,no,55301010,52203030,others,444,1,12,national,not_related,Financials,Insurance,Industrials,Industrial & Commercial Services,-0.0219014513357418,-0.0167923136331624,-0.0164572091220998,0.0261897375426614
Other,full,no,53302030,57401010,others,2,1,12,national,not_related,Consumer Cyclicals,Cyclical Consumer Services,Technology,Telecommunications Services,-0.1207010630235786,-0.0577739021290329,-0.124770960645846,-0.2134605754516569
Other,full,no,55101010,55101010,public,18,1,12,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0344522404920639,0.0214708178423804,0.0120117975609016,0.0472981370624694
Other,full,no,53403010,57201020,others,6,1,12,cross_border,not_related,Consumer Cyclicals,Retailers,Technology,Software & IT Services,0.0495967153485656,0.0601367892714564,0.0015384715741514,0.0083331570824074
Cash,full,no,60101010,53203010,others,22,1,12,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Cyclical Consumer Products,0.0444226734781022,0.0092405393075228,-0.0411128122558104,0.01846626808508
Cash,full,no,60101010,53203010,others,0,1,12,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Cyclical Consumer Products,0.0333492058371079,-0.0126555607094535,-0.0420979160748359,0.04585801147111
Other,full,no,53402010,57201020,others,0,1,12,cross_border,not_related,Consumer Cyclicals,Retailers,Technology,Software & IT Services,-0.0278966808040642,0.0171179889016905,0.0171179889016905,0.0396419412301289
Other,full,no,54201010,54201020,others,70,1,12,cross_border,industry_group,Consumer Non-Cyclicals,Personal & Household Products & Services,Consumer Non-Cyclicals,Personal & Household Products & Services,0.0320356831683205,0.0494781688766426,0.0494781688766426,0.0918965362866733
Cash,full,no,51202010,51202010,others,6,1,12,cross_border,industry,Basic Materials,Mineral Resources,Basic Materials,Mineral Resources,-0.0891611631049625,-0.0848058911365189,-0.0848058911365189,-0.0690861904888525
Other,full,no,55301010,55301020,others,445,1,12,national,industry_group,Financials,Insurance,Financials,Insurance,0.0059835338613357,0.0210873828749138,0.0210873828749138,0.0341194881736657
Other,full,no,60102040,53301010,others,21,1,12,cross_border,not_related,Real Estate,Real Estate,Consumer Cyclicals,Cyclical Consumer Services,-0.0026540595228625,-0.0156419757721247,-0.0156419757721247,-0.0431752444884313
Cash,full,no,52102030,57101010,others,41,1,12,national,not_related,Industrials,Industrial Goods,Technology,Technology Equipment,0.0136123542289315,0.0145599185935898,0.0145599185935898,0.0166573022744996
Other,full,no,52102030,53203020,others,42,1,12,national,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0136123542289315,0.0145599185935898,0.0145599185935898,0.0166573022744996
Cash,full,no,52102030,53203020,others,43,1,12,national,not_related,Industrials,Industrial Goods,Consumer Cyclicals,Cyclical Consumer Products,0.0136123542289315,0.0145599185935898,0.0145599185935898,0.0166573022744996
Other,full,no,57201020,52203040,others,16,1,12,national,not_related,Technology,Software & IT Services,Industrials,Industrial & Commercial Services,0.030880491887156,0.0141037695754938,0.0141037695754938,0.0512716268233877
Other,full,no,53301020,53301020,others,0,1,12,cross_border,industry,Consumer Cyclicals,Cyclical Consumer Services,Consumer Cyclicals,Cyclical Consumer Services,-0.0266902306701817,-0.0901625001695083,-0.0901625001695083,-0.1307439877853478
Cash,not_full,no,52405010,52405010,public,17,1,12,cross_border,industry,Industrials,Transportation,Industrials,Transportation,-0.1856281079718004,-0.1184603382531677,-0.1914134174302533,-0.1719280095450888
Cash,full,no,57201020,50103020,others,6,1,12,national,not_related,Technology,Software & IT Services,Energy,Energy - Fossil Fuels,-0.0259642464004226,-0.0951726522221976,-0.0459786180636133,-0.0461144494799505
Cash,not_full,no,51101010,51101020,others,23,1,12,national,industry_group,Basic Materials,Chemicals,Basic Materials,Chemicals,-0.0519119953163107,-0.0598933692469328,-0.0552015429085569,-0.1186222791142472
Other,full,no,56201040,52102030,others,28,1,12,national,not_related,Healthcare,Pharmaceuticals & Medical Research,Industrials,Industrial Goods,0.0112989946271183,0.01390324643471,0.0193433711347488,0.0701702532434925
Cash,full,no,55101010,55102050,others,16,1,12,cross_border,business_sector,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0067696049012461,-0.0013545226978969,-0.0190709406199062,-0.0316580409959574
Cash,full,no,60101010,60101010,others,50,1,12,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,0.0152426181614307,-0.0060641859217697,-0.0135203033063926,0.0230438272386732
Other,full,no,55101010,55101010,public,8,1,12,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0352512988272718,-0.0256174455779295,-0.0566965468535113,-0.1258220433445799
Other,full,no,57106010,52203040,public,1,1,12,national,not_related,Technology,Technology Equipment,Industrials,Industrial & Commercial Services,-0.0167673027897604,-0.0443403315784648,0.0249405706000437,0.0438391907721112
Cash,full,no,57201010,56202010,others,25,1,12,cross_border,not_related,Technology,Software & IT Services,Healthcare,Pharmaceuticals & Medical Research,-0.0013838455231461,0.0255102109079023,-0.0083930030411442,0.0044372845450979
Cash,full,no,60101010,60101010,others,24,1,12,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,0.0552558862727312,0.071027976772779,0.0981402244575618,0.0981402244575618
Other,full,no,56101020,56101020,others,22,1,12,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,-0.0328872744350453,-0.0474301184853585,-0.0391422420067236,-0.038525665905801
Other,full,no,55301010,55301010,others,446,1,12,cross_border,industry,Financials,Insurance,Financials,Insurance,0.0064621659122522,0.0383530064541122,0.0322123173129412,0.0415133094927737
Cash,full,no,50101010,50103020,others,4,1,12,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0050688342695477,-0.0139653068826014,0.0057407487812047,-0.0441165522192698
Other,full,no,50101010,50103020,others,5,1,12,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0050688342695477,-0.0139653068826014,0.0057407487812047,-0.0441165522192698
Other,full,no,55102020,52407010,others,80,1,12,cross_border,not_related,Financials,Banking & Investment Services,Industrials,Transportation,-0.0236977934910371,0.0367972217818761,0.0159156200461447,-0.0122530873620456
Cash,full,no,63101010,62101030,others,0,1,12,cross_border,not_related,Academic & Educational Services,Academic & Educational Services,Government Activity,Government Activity,-0.0174316600047123,-0.0380994448219864,-0.0719798411578215,-0.1423064545009915
Cash,full,no,57102010,57101010,others,232,1,12,cross_border,business_sector,Technology,Technology Equipment,Technology,Technology Equipment,-0.0233211758582567,-0.0327624677883828,-0.0419104668422404,-0.0402012736172995
Other,full,no,57201020,53302010,others,15,1,12,cross_border,not_related,Technology,Software & IT Services,Consumer Cyclicals,Cyclical Consumer Services,-0.0260919384078249,-0.0753867848108688,-0.0869273950490701,-0.0022492971596239
Other,full,no,55101010,55101010,others,4,1,12,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,-0.0598827376094138,0.0481335065489803,0.0809570483726253,-0.0438612000558134
Cash,full,no,54401010,57201010,others,77,1,12,cross_border,not_related,Consumer Non-Cyclicals,Consumer Goods Conglomerates,Technology,Software & IT Services,0.0028804422632209,-0.003408275770356,-0.003408275770356,0.0113664000149423
Cash,full,no,52101010,52102010,others,20,1,12,cross_border,business_sector,Industrials,Industrial Goods,Industrials,Industrial Goods,0.0108915516939634,0.0545764534970635,0.0545764534970635,0.0650823004192944
Other,full,no,52203040,57201020,others,4,1,12,cross_border,not_related,Industrials,Industrial & Commercial Services,Technology,Software & IT Services,0.0584734620396083,0.0372290964451227,0.0372290964451227,0.0708416117003045
Other,full,no,55301010,55301010,others,447,1,12,cross_border,industry,Financials,Insurance,Financials,Insurance,0.0378811869588361,0.0316833151331733,0.0316833151331733,0.0537151938896597
